id,filename,motif,prompt,alt
1,images/new-city/ep-01/1.webp,station,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: an almost-empty night railway platform under cold light; a lone traveller with a small case and a letter, seen from behind. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","An almost-empty night railway platform under cold light; a lone traveller with a small case and a letter, seen from behind."
2,images/new-city/ep-01/2.webp,map,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a tired night clerk at a lit information window sliding across a small hand-drawn map; an unread letter on the counter. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.",A tired night clerk at a lit information window sliding across a small hand-drawn map; an unread letter on the counter.
3,images/new-city/ep-01/3.webp,taxi,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a wet station forecourt at night, three idling taxis and a bus-stop sign, cold river air, breath visible. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","A wet station forecourt at night, three idling taxis and a bus-stop sign, cold river air, breath visible."
4,images/new-city/ep-01/4.webp,bus,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: the warm, near-empty interior of a night bus; a letter reread on an empty seat, dark wet streets sliding past the window. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","The warm, near-empty interior of a night bus; a letter reread on an empty seat, dark wet streets sliding past the window."
5,images/new-city/ep-01/5.webp,kiosk,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a woman pulling down the shutter of a corner kiosk on an empty night street — the only person around. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.",A woman pulling down the shutter of a corner kiosk on an empty night street — the only person around.
6,images/new-city/ep-01/6.webp,taxi,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: the view from a taxi's back seat, the driver laughing over his shoulder, an empty night avenue ahead. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","The view from a taxi's back seat, the driver laughing over his shoulder, an empty night avenue ahead."
7,images/new-city/ep-01/7.webp,building,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a grey, dusty, abandoned office building behind builders' hoarding at night; a dark doorway and an old dead sign. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","A grey, dusty, abandoned office building behind builders' hoarding at night; a dark doorway and an old dead sign."
8,images/new-city/ep-01/8.webp,bus,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a night bus halted at its last stop, the driver glancing back; an empty depot, one in the morning, no more buses. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","A night bus halted at its last stop, the driver glancing back; an empty depot, one in the morning, no more buses."
9,images/new-city/ep-01/9.webp,kiosk,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a kiosk woman pointing down a dark corner toward a distant café light, a letter in her other hand. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","A kiosk woman pointing down a dark corner toward a distant café light, a letter in her other hand."
10,images/new-city/ep-01/10.webp,bed,"Painterly atmospheric illustration, cinematic nocturne: a cold, unfamiliar city at night lit by a single warm sodium-amber source against deep navy-and-teal blues; limited muted palette, soft volumetric fog, gentle film grain and visible painterly brushwork; faceless viewpoint — show the world from behind or over the shoulder, or only hands and objects, never a clear face or eye contact; culturally neutral modern European-ish port city, no readable text or signage, no flags or landmarks; quiet, uncertain, atmospheric but not frightening. Scene: a small, clean, cheap hotel lobby at night; a key on the desk, a yellow agency sign glimpsed across the road. 3:2 landscape, subject held in the central 90%, cinematic lighting. Negative prompt: no text, no lettering, no watermark, no logos, no visible faces or eye contact, no bright saturated colours, no daytime blue sky, no cartoon style.","A small, clean, cheap hotel lobby at night; a key on the desk, a yellow agency sign glimpsed across the road."
